131
1 2 3
1 2 4
1 2 5
1 2 6
1 2 7
1 2 8
1 2 9
1 5 3
1 6 4
1 7 5
1 8 3
1 8 6
1 9 7
2 1 3
2 1 4
2 1 5
2 1 6
2 1 7
2 1 8
2 1 9
2 4 3
2 5 4
2 6 5
2 7 3
2 7 6
2 8 7
2 9 4
2 9 8
3 0 3
3 0 4
3 0 5
3 0 6
3 0 7
3 0 8
3 0 9
3 3 3
3 4 4
3 5 5
3 6 3
3 6 6
3 7 7
3 8 4
3 8 8
3 9 3
3 9 9
4 1 3
4 1 4
4 1 5
4 1 6
4 1 7
4 1 8
4 1 9
4 4 3
4 5 4
4 6 5
4 7 3
4 7 6
4 8 7
4 9 4
4 9 8
5 0 3
5 0 4
5 0 5
5 0 6
5 0 7
5 0 8
5 0 9
5 3 3
5 4 4
5 5 5
5 6 3
5 6 6
5 7 7
5 8 4
5 8 8
5 9 3
5 9 9
6 0 3
6 1 4
6 2 5
6 3 3
6 3 6
6 4 7
6 5 4
6 5 8
6 6 3
6 6 9
6 7 5
6 9 3
6 9 4
6 9 6
7 2 3
7 3 4
7 4 5
7 5 3
7 5 6
7 6 7
7 7 4
7 7 8
7 8 3
7 8 9
7 9 5
8 1 3
8 1 4
8 1 5
8 1 6
8 1 7
8 1 8
8 1 9
8 4 3
8 5 4
8 6 5
8 7 3
8 7 6
8 8 7
8 9 4
8 9 8
9 0 3
9 0 6
9 1 7
9 2 4
9 2 8
9 3 3
9 3 9
9 4 5
9 6 3
9 6 4
9 6 6
9 8 7
9 9 3
9 9 5
